Year,Name,Female,Male
1880,Elijah,0,100
1880,Victor,0,100
1880,Christopher,0,95
1880,Maurice,0,93
1880,Mark,0,85
1880,Jose,0,84
1880,Virgil,0,81
1880,Marshall,0,78
1880,Manuel,0,75
1880,Phillip,0,75
1880,Nicholas,0,73
1880,Harley,0,70
1880,Timothy,0,70
1880,Marvin,0,69
1880,Curtis,0,68
1880,Stanley,0,65
1880,Russell,0,62
1880,Asa,0,60
1880,Nathaniel,0,60
1880,Scott,0,60
1880,Andy,0,58
1880,Ellis,0,58
1880,Joshua,0,57
1880,Vernon,0,56
1880,Austin,0,53
1880,Monroe,0,53
1880,Emery,0,52
1880,Jerome,0,52
1880,Chris,0,49
1880,Bruce,0,47
1880,Marcus,0,47
1880,Donald,0,46
1880,Christian,0,43
1880,Tony,0,42
1880,Joel,0,41
1880,Riley,0,41
1880,Vincent,0,41
1880,Emory,0,40
1880,Ezra,0,39
1880,Juan,0,39
1880,Taylor,0,37
1880,Spencer,0,35
1880,Don,0,34
1880,Morgan,0,33
1880,Van,0,33
1880,Elisha,0,32
1880,Julian,0,32
1880,Kenneth,0,32
1880,Mitchell,0,32
1880,Douglas,0,29
1880,Antonio,0,26
1880,Carroll,0,26
1880,Royal,0,26
1880,Emerson,0,25
1880,Roger,0,25
1880,Glen,0,24
1880,Jordan,0,23
1880,Wayne,0,23
1880,Evan,0,22
1880,Loren,0,22
1880,Madison,0,22
1880,Mason,0,22
1880,Aubrey,0,21
1880,Elliott,0,21
1880,Dallas,0,20
1880,Jason,0,20
1880,Johnny,0,20
1880,Micheal,0,20
1880,Addison,0,19
1880,Adrian,0,18
1880,Jesus,0,18
1880,Johnie,0,18
1880,Jonathan,0,18
1880,Merritt,0,18
1880,Sandy,0,18
1880,Carlos,0,17
1880,Cary,0,17
1880,Israel,0,17
1880,Sterling,0,17
1880,Steven,0,17
1880,Jules,0,16
1880,Larkin,0,16
1880,Bennett,0,15
1880,Gabriel,0,15
1880,Dean,0,14
1880,Parker,0,14
1880,Raleigh,0,14
1880,Larry,0,13
1880,Logan,0,13
1880,Merrill,0,13
1880,Rodney,0,13
1880,Bailey,0,12
1880,Beverly,0,12
1880,Dana,0,12
1880,Hunter,0,12
1880,Luis,0,12
1880,Pat,0,12
1880,Sol,0,12
1880,Sydney,0,12
1880,Travis,0,12
1880,Finley,0,11
1880,Gerald,0,11
1880,Lindsey,0,11
1880,Billie,0,10
1880,Eric,0,10
1880,Noel,0,10
1880,Palmer,0,10
1880,Terry,0,10
1880,Valentine,0,10
1880,Avery,0,9
1880,Carson,0,9
1880,Ashley,0,8
1880,Ivory,0,8
1880,Justin,0,8
1880,Odie,0,8
1880,Otha,0,8
1880,Quincy,0,8
1880,Randall,0,8
1880,Shelby,0,8
1880,Troy,0,8
1880,Arlie,0,7
1880,Billy,0,7
1880,Elliot,0,7
1880,Gene,0,7
1880,Golden,0,7
1880,Hollis,0,7
1880,Ivey,0,7
1880,Lindsay,0,7
1880,Lonie,0,7
1880,Tyler,0,7
1880,Allison,0,6
1880,Andre,0,6
1880,Cruz,0,6
1880,Drew,0,6
1880,Gary,0,6
1880,Hollie,0,6
1880,Michel,0,6
1880,Reese,0,6
1880,Stacy,0,6
1880,Tracy,0,6
1880,Bernie,0,5
1880,Blaine,0,5
1880,Bradley,0,5
1880,Brooks,0,5
1880,Denver,0,5
1880,Gregory,0,5
1880,Hayden,0,5
1880,Holly,0,5
1880,Hudson,0,5
1880,Jodie,0,5
1880,Justice,0,5
1880,Kelly,0,5
1880,Kit,0,5
1880,Lavern,0,5
1880,Lorin,0,5
1880,Nova,0,5
1880,Payton,0,5
1880,Presley,0,5
1880,Reece,0,5
1880,Rene,0,5
1880,Santos,0,5
1880,Schuyler,0,5
1880,Tommy,0,5
1880,Unknown,0,5
1881,Mary,6919,29
1881,Anna,2698,16
1881,Emma,2034,9
1881,Elizabeth,1852,0
1881,Margaret,1658,9
1881,Annie,1326,5
1881,Alice,1308,7
1881,Clara,1242,5
1881,Sarah,1226,0
1881,Grace,1089,0
1881,Florence,1046,7
1881,Martha,1044,0
1881,Laura,962,0
1881,Carrie,958,6
1881,Ethel,788,5
1881,Julia,737,0
1881,Rose,734,0
1881,Lillian,723,0
1881,Eva,661,0
1881,Jessie,661,143
1881,Pearl,641,52
1881,Edna,637,5
1881,Catherine,635,0
1881,Louise,617,5
1881,Helen,612,7
1881,Frances,586,12
1881,Katherine,504,0
1881,Rosa,500,0
1881,Marie,499,0
1881,Nancy,429,0
1881,Alma,293,14
1881,Susan,292,0
1881,Ruth,275,0
1881,Amanda,263,0
1881,Emily,244,0
1881,Willie,229,498
1881,Rebecca,226,0
1881,Kathryn,218,0
1881,Jane,216,0
1881,Virginia,210,0
1881,Irene,206,0
1881,Ora,191,55
1881,Theresa,173,0
1881,Ollie,169,45
1881,Augusta,157,0
1881,Rachel,157,0
1881,Mildred,154,0
1881,Sara,147,0
1881,Amy,145,0
1881,Ann,130,0
1881,Barbara,130,0
1881,Maria,120,0
1881,Ruby,119,0
1881,Victoria,117,0
1881,Evelyn,116,0
1881,Lou,114,15
1881,Betty,112,0
1881,Marion,110,162
1881,Dorothy,109,0
1881,Allie,98,21
1881,Christina,82,0
1881,Winifred,81,0
1881,Essie,80,5
1881,Eunice,77,0
1881,Isabel,76,0
1881,Christine,67,0
1881,Carolyn,60,0
1881,Lois,53,0
1881,Gussie,50,0
1881,Hazel,50,0
1881,Bernice,48,0
1881,Cynthia,47,0
1881,Francis,47,259
1881,Teresa,46,0
1881,Jean,44,9
1881,Gladys,40,0
1881,Melissa,40,0
1881,Lee,39,342
1881,Marian,39,6
1881,Ivy,38,14
1881,Linda,38,0
1881,Hallie,36,0
1881,Georgie,32,0
1881,George,30,4664
1881,William,30,8524
1881,Janet,29,0
1881,Louie,28,31
1881,Alpha,27,9
1881,Ellie,27,0
1881,Johnnie,27,45
1881,John,26,8769
1881,Norma,26,0
1881,Bonnie,25,0
1881,Frankie,24,0
1881,James,24,5441
1881,Vivian,24,9
1881,Claire,23,0
1881,Cleo,23,0
1881,Artie,22,10
1881,Jimmie,22,20
1881,Julie,22,0
1881,Lennie,21,0
1881,Clare,20,0
1881,Fay,18,15
1881,Charles,17,4636
1881,Clyde,17,232
1881,Isa,17,0
1881,Cecil,16,35
1881,June,16,10
1881,Sidney,16,129
1881,Donna,15,0
1881,Adell,14,0
1881,Deborah,14,0
1881,Donnie,14,0
1881,Alva,13,70
1881,Antonia,13,0
1881,Henry,13,2339
1881,Kathleen,13,0
1881,Vernie,13,6
1881,Camille,12,0
1881,Connie,12,8
1881,Dell,12,13
1881,Patsy,12,0
1881,Samantha,12,0
1881,Audrey,11,0
1881,Eddie,11,109
